descripcion,modelo_y_km,precio,ubicacion
Chevrolet Spark Lt Mt 1000cc Aa,2009 | 101.000 Km,14.300.000,Antioquia
Chevrolet Spark 2011,2011 | 90.000 Km,14.300.000,Antioquia
Chevrolet Spark Go Next Mt 1000cc Aa Ct,2009 | 105.000 Km,14.400.000,Tolima
Chevrolet Spark,2009 | 88.200 Km,14.400.000,Bogotá D.c.
Chevrolet Chevy C2,2009 | 85.600 Km,14.500.000,Bogotá D.c.
Chevrolet Optra 2008,2008 | 123.000 Km,14.500.000,Antioquia
Chevrolet Aveo Emotion Gt I 1.6l Mt 3 P Aa,2008 | 100.286 Km,14.500.000,Bolívar
Chevrolet Aveo Emotion Gti Mt 1600 Cc 3p Aa,2009 | 119.680 Km,14.500.000,Córdoba
Chevrolet Aveo Gti Mt 1400cc 3p Aa,2008 | 101.000 Km,14.500.000,Bogotá D.c.
Chevrolet Spark,2011 | 51.900 Km,14.500.000,Bogotá D.c.
Chevrolet Spark,2012 | 82.500 Km,14.500.000,Bogotá D.c.
Chevrolet Spark Go Mt 1000cc Aa Ct,2009 | 60.000 Km,14.500.000,Bogotá D.c.
Chevrolet Spark,2011 | 107.200 Km,14.600.000,Bogotá D.c.
Chevrolet Aveo Gti Mt 1600cc 3p Aa,2008 | 117.000 Km,14.700.000,Bogotá D.c.
Chevrolet Aveo Gti Limited Mt 1600cc 3p Aa Ct,2008 | 110.000 Km,14.750.000,Bogotá D.c.
Chevrolet Spark,2012 | 130.000 Km,14.800.000,Bogotá D.c.
Chevrolet Spark,2012 | 55.000 Km,14.800.000,Bogotá D.c.
Chevrolet Spark,2009 | 125.000 Km,14.800.000,Bogotá D.c.
Chevrolet Spark,2009 | 95.800 Km,14.850.000,Bogotá D.c.
Chevrolet Aveo 2008,2008 | 119.000 Km,14.900.000,Antioquia
Chevrolet Chevy C2 Sedan,2009 | 73.000 Km,14.900.000,Antioquia
Chevrolet Spark Go Mt 1000cc Aa Ct,2010 | 95.000 Km,14.900.000,Bogotá D.c.
Chevrolet Aveo Ls Mt 1600cc Aa,2008 | 145.000 Km,14.900.000,Antioquia
Chevrolet Aveo 2009,2009 | 126.000 Km,14.900.000,Antioquia
Chevrolet Spark Go Mt 1000cc Aa Ct,2009 | 109.000 Km,14.900.000,Bogotá D.c.
Chevrolet Optra 1.6 L Mt 1600cc Aa,2008 | 152.200 Km,14.900.000,Antioquia
Chevrolet Spark Gt Lt Mt 1200cc 5p,2008 | 45.000 Km,14.900.000,Antioquia
Chevrolet Spark Go Mt 1000cc Aa Dh Ct,2009 | 98.000 Km,14.900.000,Antioquia
Chevrolet Aveo Five Mt 1400cc 5p Sa 1ab,2008 | 85.000 Km,14.900.000,Bogotá D.c.
Chevrolet Spark,2012 | 106.000 Km,14.990.000,Bogotá D.c.
Chevrolet Aveo Family Mt 1500cc 4p Aa,2010 | 110.000 Km,14.990.000,Bogotá D.c.
Chevrolet Spark,2011 | 55.000 Km,15.000.000,Bogotá D.c.
Chevrolet Aveo Aveo Mt,2008 | 110.000 Km,15.000.000,Bogotá D.c.
Chevrolet Aveo Five Mt 1600cc 5p Aa 1ab,2008 | 117.049 Km,15.000.000,Antioquia
Chevrolet Spark,2012 | 71.900 Km,15.000.000,Bogotá D.c.
Chevrolet Spark,2012 | 102.000 Km,15.000.000,Cundinamarca
Chevrolet Aveo Aveo Mt,2008 | 160.000 Km,15.000.000,Bogotá D.c.
Chevrolet Optra,2009 | 138.000 Km,15.000.000,Antioquia
Chevrolet Aveo,2009 | 166.000 Km,15.000.000,Antioquia
Chevrolet Aveo Five Mt 1600cc 5p Aa 1ab,2009 | 102.000 Km,15.000.000,Bogotá D.c.
Chevrolet Spark Ls Mt 1000cc Aa,2012 | 80.000 Km,15.200.000,Bogotá D.c.
Chevrolet Aveo Emotion,2008 | 200.000 Km,15.200.000,Antioquia
Chevrolet Spark Life Mt 1000cc Aa,2011 | 43.600 Km,15.200.000,Bogotá D.c.
Chevrolet Spark Life 2012,2012 | 106.000 Km,15.200.000,Bogotá D.c.
Chevrolet Aveo Five Mt 1600cc 5p Aa 2ab,2009 | 112.800 Km,15.300.000,Bogotá D.c.
Chevrolet Aveo Five Mt 1600cc 5p Aa 2ab,2009 | 88.000 Km,15.300.000,Bogotá D.c.
Chevrolet Aveo,2009 | 109.500 Km,15.300.000,Bogotá D.c.
Chevrolet Spark Lt Mt 1000cc Aa,2012 | 41.000 Km,15.300.000,Bogotá D.c.
Chevrolet Spark Go Mt 1000cc Aa Ct,2010 | 88.000 Km,15.300.000,Bogotá D.c.
Chevrolet Aveo Ls Mt 1600cc Aa,2008 | 134.000 Km,15.300.000,Bogotá D.c.
Chevrolet Vivant 2.0 At 2000cc,2008 | 139.900 Km,15.300.000,Bogotá D.c.
Chevrolet Optra,2008 | 98.000 Km,15.300.000,Bogotá D.c.
Chevrolet Spark Ls Mt 1000cc Sa,2013 | 83.500 Km,15.300.000,Bogotá D.c.
Chevrolet Aveo Sd Mt 1600cc 4p Aa,2009 | 91.000 Km,15.400.000,Bogotá D.c.
Chevrolet Spark Cronos Mt 1000cc,2012 | 71.000 Km,15.400.000,Bogotá D.c.
Chevrolet Aveo Gti Mt 1600cc 3p Aa,2008 | 68.000 Km,15.500.000,Bogotá D.c.
Chevrolet Optra Advance Mt 1600cc 4p,2009 | 305.000 Km,15.500.000,Bogotá D.c.
"Aveo 2008, 1.4, D.h, A.a",2008 | 114.000 Km,15.500.000,Caldas
Chevrolet Spark,2012 | 76.000 Km,15.500.000,Bogotá D.c.
Chevrolet Aveo Gti Mt 1600cc 3p Aa,2008 | 96.500 Km,15.500.000,Bogotá D.c.
Chevrolet Aveo,2009 | 119.700 Km,15.500.000,Bogotá D.c.
Chevrolet Aveo Gti Mt 1400cc 3p Aa,2008 | 108.000 Km,15.500.000,Bogotá D.c.
Chevrolet Spark Ls Mt 1000cc Aa,2012 | 78.000 Km,15.500.000,Bogotá D.c.
Chevrolet Optra,2008 | 113.000 Km,15.500.000,Bogotá D.c.
Chevrolet Aveo Gti Limited Mt 1400cc 3p Aa Ct,2008 | 129.000 Km,15.500.000,Antioquia
Chevrolet Aveo Gti Mt 1600cc 3p Aa,2009 | 113.500 Km,15.500.000,Bogotá D.c.
Chevrolet Spark Lt Mt 1000cc Aa,2012 | 80.900 Km,15.500.000,Bogotá D.c.
Chevrolet Spark,2013 | 28.500 Km,15.500.000,Caldas
Chevrolet Aveo 2008,2008 | 160.000 Km,15.500.000,Antioquia
Chevrolet Aveo,2008 | 109.500 Km,15.500.000,Boyaca
Chevrolet Aveo Five Especial Next Mt 1600cc 5p Aa 2ab,2008 | 92.900 Km,15.500.000,Bogotá D.c.
Chevrolet Aveo Sedan 2008,2008 | 137.449 Km,15.500.000,Antioquia
Chevrolet Aveo Ls Mt 1400cc Aa,2008 | 140.000 Km,15.500.000,Bogotá D.c.
Chevrolet Aveo Gti Mt 1400cc 3p Aa,2009 | 106.160 Km,15.500.000,Antioquia
Chevrolet Spark 2008,2008 | 210.531 Km,15.500.000,Valle Del Cauca
Chevrolet Aveo,2009 | 128.200 Km,15.500.000,Bogotá D.c.
Chevrolet Spark,2013 | 75.670 Km,15.600.000,Bogotá D.c.
Chevrolet Optra,2008 | 135.000 Km,15.600.000,Bogotá D.c.
Chevrolet Spark Go Mt 1000cc Aa Dh Ct,2010 | 84.000 Km,15.600.000,Bogotá D.c.
Chevrolet Aveo Sd Mt 1600cc 4p Aa,2008 | 142.500 Km,15.700.000,Antioquia
Chevrolet Aveo Gti Mt 1400cc 3p Aa,2008 | 81.500 Km,15.700.000,Bogotá D.c.
Chevrolet Optra Advanced,2009 | 184.347 Km,15.700.000,Bogotá D.c.
Chevrolet Optra,2008 | 140.571 Km,15.700.000,Bogotá D.c.
Chevrolet Spark Ls Mt 1000cc Sa,2013 | 55.000 Km,15.700.000,Bogotá D.c.
Chevrolet Aveo Gti Mt 1600cc 3p Sa,2009 | 105.000 Km,15.800.000,Bogotá D.c.
Chevrolet Aveo Five Mt 1600cc 5p Aa 2ab,2009 | 117.600 Km,15.800.000,Bogotá D.c.
Chevrolet Spark Ls Mt 1000cc Sa,2012 | 91.000 Km,15.800.000,Caldas
